магазин,дата парсинга,наименование,цена
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт САВУШКИН Лесные ягоды 2%, без змж","31,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Напиток йогуртный питьевой EHRMANN Эрмигурт с лесными ягодами 1,2%, без змж","61,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт питьевой EPICA с манго 2,5%, без змж","54,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт питьевой EPICA с вишней и бананом 2,5%, без змж","54,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Продукт из творога 365 ДНЕЙ несладкий 24%, с змж","49,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Продукт творожный ДАНИССИМО со вкусом мороженого, клубничный крем-брюле 5,7%, без змж","49,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт LAPLANDIA Сливочный с малиной и сыром маскарпоне 7,2%, без змж","74,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сметана ПРОСТОКВАШИНО 20%, без змж","66,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сметана ДОМИК В ДЕРЕВНЕ 25%, без змж","109,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Творог рассыпчатый ИСКРЕННЕ ВАШ 9%, без змж","209,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт LAPLANDIA Сливочный со вкусом крем-брюле 7%, без змж","74,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Масло сливочное РЭП 82,5% ГОСТ, без змж","189,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Молоко ультрапастеризованное PARMALAT Comfort безлактозное 3,5%, без змж","159,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Ряженка ДОМИК В ДЕРЕВНЕ 2,5% из топленого молока, без змж","44,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт КОЛОМЕНСКИЙ Черника, малина и манго 5%, без змж","69,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сырок творожный глазированный СВИТЛОГОРЬЕ с наполнителем черника в белой глазури 16%, без змж","41,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сливки стерилизованные BONVIDA 10% порционные, без змж, 10x10г","49,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Напиток овсяный ОВСЯША обогащенный витаминами и минеральными веществами 3,2%","24,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Десерт творожный ЧУДО Творожок взбитый Малина, ежевика двухслойный 4,2%, без змж","49,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Десерт творожный ЧУДО Творожок взбитый двухслойный Вишня, черешня 4%, без змж","49,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сырок глазированный ЧУДО со вкусом шоколада 25,6%, без змж","46,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Ряженка БОЛЬШАЯ КРУЖКА 4%, без змж","129,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Творог мягкий МИНСКАЯ МАРКА 4%, без змж","119,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сметана ПРОСТОКВАШИНО 25%, без змж","119,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт EPICA с гранатом и малиной 4,8%, без змж","54,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Творог детский АГУША Злаки 3,9%, с 6 месяцев, без змж","39,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Паста творожная САВУШКИН Груша, банан 3,5%, без змж","49,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Биопродукт кефирный BIOБАЛАНС 1%, без змж","124,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт VIOLA Very Berry с клубникой 2,6%, без змж","74,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт LACTICA Греческий Натуральный 4%, без змж","59,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Молоко ультрапастеризованное ЛЕНТА LIFE низколактозное 1,8%, без змж","112,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт питьевой VIOLA Clean Label с клубникой 0,8%, без змж","64,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт NEO Греческий Клубника 1,7%, без змж","69,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сливки ультрапастеризованные VIOLA 20%, без змж","89,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт ПРОСТОКВАШИНО с персиком 2,9%, без змж","29,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт питьевой СТОЛЫПИНСКАЯ ФЕРМА со злаками 2,5%, без змж","99,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Напиток сывороточный МАЖИТЭЛЬ J7 Ананас, манго, без змж","109,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Пудинг GRAND DESERT Соленая карамель со сливочным муссом 4,7%, без змж","99,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Творог мягкий ДОМИК В ДЕРЕВНЕ 5%, без змж","49,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Биойогурт питьевой АКТИБИО Клубника, земляника 1,5%, без змж","139,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,Пирожное бисквитное KINDER Pingui Шоколад с молочной начинкой,"69,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Творожок ПРОСТОКВАШИНО Малина 3,6%, без змж","37,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сливки ультрапастеризованные КЛЕВЕР 10%, без змж","129,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Биойогурт питьевой АКТИБИО Натуральный 1,8%, без змж","139,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Творог рассыпчатый ИСКРЕННЕ ВАШ 5%, без змж","199,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Биойогурт детский ТЕМА Малина 2,5%, без змж","44,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Творожок ПРОСТОКВАШИНО с вишней и бананом 3,6%, без змж","37,99"
